randomized,simple_reflex,model_based,size
210,83,30,5
316,49,23,5
352,42,21,5
667,359,39,5
420,144,39,5
564,100,24,5
240,23,26,5
1257,86,43,5
93,108,30,5
960,210,36,5
384,292,45,5
723,55,36,5
751,124,46,5
398,44,41,5
207,282,35,5
969,48,32,5
94,17,19,5
893,357,39,5
491,99,29,5
887,47,33,5
806,111,35,5
413,137,32,5
84,83,31,5
266,179,37,5
233,47,20,5
471,61,37,5
293,104,37,5
247,41,27,5
788,125,33,5
588,50,35,5
513,177,47,5
490,33,32,5
462,33,22,5
737,85,41,5
489,159,49,5
1019,59,39,5
514,136,47,5
530,138,42,5
1327,48,31,5
798,82,37,5
522,11,11,5
803,93,26,5
895,200,41,5
334,86,47,5
906,140,42,5
595,112,47,5
496,151,39,5
485,51,28,5
790,177,47,5
777,220,35,5
344,121,36,5
249,122,34,5
204,83,32,5
163,42,38,5
436,44,35,5
534,128,43,5
345,70,26,5
401,89,34,5
508,139,40,5
886,59,38,5
223,77,33,5
396,153,26,5
893,133,34,5
454,194,37,5
2,1,1,5
1305,46,34,5
388,42,30,5
308,157,31,5
219,79,37,5
590,200,48,5
430,66,41,5
540,63,32,5
555,74,32,5
448,21,32,5
307,135,29,5
314,87,35,5
153,16,28,5
793,281,43,5
430,80,46,5
77,22,32,5
730,30,37,5
298,91,42,5
392,63,37,5
617,140,44,5
168,102,32,5
543,287,32,5
405,405,41,5
1373,72,32,5
1333,80,50,5
838,46,38,5
344,52,31,5
273,97,25,5
306,76,34,5
373,93,31,5
536,61,33,5
378,219,39,5
545,66,35,5
1592,152,33,5
342,186,35,5
789,41,29,5
4753,875,161,10
2420,568,156,10
3461,1480,157,10
3833,864,145,10
4526,506,133,10
1939,1682,143,10
3677,1309,155,10
2945,1776,158,10
7808,742,143,10
2090,458,131,10
4967,1178,144,10
1607,766,143,10
3432,608,140,10
1135,473,130,10
2533,949,150,10
4126,775,163,10
2710,876,140,10
5722,892,140,10
4395,663,137,10
3312,941,138,10
4169,1412,143,10
3399,1407,141,10
5179,1343,130,10
4038,1055,136,10
4160,1130,141,10
3547,537,132,10
4201,1333,139,10
5191,680,133,10
6113,613,157,10
2216,489,136,10
4162,2070,152,10
5869,1329,143,10
4283,848,146,10
3919,792,150,10
3795,1177,155,10
3191,866,145,10
2548,1650,151,10
3149,727,135,10
1858,1249,143,10
1897,982,139,10
3192,1195,147,10
2547,530,137,10
6447,677,113,10
2330,937,166,10
2197,690,141,10
3009,498,132,10
4371,652,139,10
2896,632,131,10
2501,890,127,10
2521,1454,145,10
3175,679,136,10
2693,907,129,10
3230,1668,154,10
2927,982,145,10
4503,3122,164,10
2609,645,152,10
1464,1797,141,10
3588,977,148,10
2779,1768,155,10
6040,770,152,10
3731,672,143,10
4827,838,149,10
1992,487,122,10
3125,586,146,10
3857,896,133,10
3126,805,134,10
3851,632,144,10
4277,1126,149,10
3163,881,158,10
3735,1148,132,10
4221,586,142,10
3025,982,148,10
3200,1466,142,10
1522,444,128,10
1128,851,137,10
4561,1223,144,10
2173,462,170,10
3010,581,136,10
3820,1245,135,10
4449,2026,143,10
3523,825,141,10
1846,1055,150,10
2716,1059,126,10
3728,709,137,10
2544,1051,125,10
5718,1209,161,10
5252,557,155,10
5415,1608,145,10
3254,803,160,10
4780,685,142,10
1990,599,127,10
2764,890,130,10
3665,1480,143,10
3726,1236,137,10
8384,507,142,10
2566,580,156,10
6014,1235,143,10
2551,795,127,10
3930,468,134,10
3427,965,146,10
942879,315530,14194,100
850207,303278,14009,100
1899635,346242,14079,100
1139110,291130,14179,100
1013321,288738,14118,100
871690,547759,14051,100
918838,357486,14247,100
1111392,303482,14177,100
881097,385763,14121,100
1076510,354640,14153,100
1136707,322861,14076,100
1233113,280302,14229,100
1116698,331567,13979,100
1220905,299349,13944,100
1650492,248203,14112,100
1285253,360095,14167,100
1195241,540625,14070,100
880244,344891,14080,100
1066646,427874,14200,100
1088633,365019,14141,100
791536,323345,14044,100
854256,447060,14009,100
1193877,279434,14130,100
1051096,236754,14070,100
937858,238832,13944,100
970235,271755,14038,100
903894,483863,13986,100
1146538,352460,14052,100
944499,272373,13973,100
971142,341963,14074,100
1004143,249077,14020,100
1510338,396474,14074,100
865569,163527,14145,100
1047352,324645,14107,100
727134,443234,14125,100
1217761,290793,13982,100
951615,255717,14054,100
946891,248351,14037,100
843872,432003,14212,100
831253,359826,14004,100
983867,326939,14109,100
1202769,373755,14012,100
1297373,351639,13952,100
1179053,255534,13976,100
811598,352231,14164,100
1063032,417116,14111,100
874087,313730,14078,100
733376,395270,13973,100
1049892,269533,14071,100
734524,206485,14168,100
1065135,596809,14062,100
1109582,292237,14130,100
810111,351212,14137,100
839313,252815,14242,100
1122098,410392,14097,100
935077,356289,14328,100
833326,735424,14044,100
774095,235526,14005,100
1012645,223984,14065,100
782250,247732,14089,100
758606,320729,14135,100
1310644,376295,13992,100
1088616,399112,14136,100
1008425,301634,14106,100
1178474,511210,14205,100
781988,277200,14102,100
961833,335121,14076,100
972675,377069,14271,100
1074659,340947,13959,100
1022349,267455,14121,100
729021,267769,14105,100
796951,471215,14143,100
868466,452951,14106,100
905458,389763,14008,100
842912,320298,13943,100
949542,394640,14174,100
773954,285111,14214,100
1201475,265257,13999,100
995256,305861,14300,100
1343823,383133,14093,100
1084666,447240,13981,100
927478,450758,14242,100
944226,362010,14284,100
815143,278953,14007,100
740598,561822,13955,100
1052973,278553,14050,100
892472,336725,14051,100
1007115,854185,14078,100
1397937,310904,14097,100
1820137,259124,14166,100
829148,281174,14153,100
931328,287943,14059,100
1137036,200687,14157,100
1126941,339796,14175,100
916025,373769,13984,100
900144,298112,14089,100
1057478,305351,14122,100
975061,226246,14092,100
959020,334697,14085,100
1285704,431067,14072,100
