randomized,simple_reflex,model_based,size
600,178,-1,5
544,283,-1,5
774,62,-1,5
580,134,-1,5
462,204,-1,5
974,255,-1,5
1557,214,-1,5
787,120,-1,5
114,182,33,5
845,239,-1,5
764,127,-1,5
407,196,54,5
481,291,41,5
625,126,35,5
430,233,47,5
1052,125,39,5
486,67,40,5
653,551,38,5
281,144,37,5
1468,150,-1,5
463,131,37,5
627,71,30,5
223,123,-1,5
385,215,51,5
1212,86,41,5
998,291,51,5
951,150,43,5
1218,148,44,5
400,85,-1,5
563,304,-1,5
513,321,-1,5
1348,67,40,5
697,250,-1,5
378,131,-1,5
524,320,-1,5
998,236,47,5
207,82,14,5
710,113,37,5
1591,580,44,5
668,280,-1,5
482,53,-1,5
885,192,-1,5
795,122,41,5
761,26,37,5
433,29,23,5
405,83,-1,5
681,139,40,5
856,115,-1,5
563,142,33,5
537,183,42,5
843,56,-1,5
887,205,-1,5
650,140,-1,5
1020,85,-1,5
561,62,-1,5
-1,-1,-1,5
508,16,23,5
554,78,-1,5
323,191,43,5
491,85,-1,5
526,90,27,5
1918,129,50,5
296,139,22,5
618,83,37,5
1280,161,-1,5
508,89,-1,5
746,112,-1,5
525,186,-1,5
1362,77,-1,5
342,121,-1,5
287,102,17,5
333,299,-1,5
650,113,38,5
686,136,52,5
503,117,-1,5
1186,275,-1,5
728,247,-1,5
354,156,35,5
791,184,42,5
424,7,14,5
1345,180,-1,5
639,73,37,5
511,57,-1,5
257,201,23,5
556,232,-1,5
293,124,-1,5
636,117,39,5
763,112,44,5
558,81,-1,5
373,179,-1,5
430,201,38,5
394,73,-1,5
471,162,-1,5
769,100,-1,5
643,159,-1,5
548,121,32,5
1883,95,-1,5
1046,70,-1,5
988,203,-1,5
615,74,-1,5
3080,1675,-1,10
3108,436,-1,10
5263,659,-1,10
4438,1377,-1,10
4189,1057,-1,10
5804,1033,-1,10
2829,855,-1,10
3232,2632,-1,10
2488,445,-1,10
2143,883,-1,10
3194,1780,-1,10
2754,891,-1,10
4961,802,-1,10
4018,1470,-1,10
8619,1115,-1,10
4466,1224,-1,10
4261,1046,-1,10
3033,1792,-1,10
4883,1366,-1,10
3304,980,-1,10
5288,890,-1,10
6967,643,-1,10
4872,1702,-1,10
3140,1166,-1,10
4433,612,-1,10
6970,4371,-1,10
7229,1049,-1,10
3381,767,-1,10
5567,1548,-1,10
5702,1013,-1,10
3286,1029,-1,10
3391,815,-1,10
4685,1058,-1,10
8841,1025,-1,10
2200,1768,-1,10
5518,525,-1,10
3007,665,-1,10
3977,1452,-1,10
1792,538,-1,10
5707,574,-1,10
2702,986,-1,10
4297,1415,-1,10
3380,1175,-1,10
7731,619,-1,10
2381,1577,-1,10
6510,1277,-1,10
3932,1217,-1,10
6325,1496,-1,10
4054,893,-1,10
10214,787,-1,10
2234,883,-1,10
3331,1033,-1,10
4260,1003,-1,10
2717,1697,-1,10
5327,954,-1,10
2516,887,-1,10
3964,784,-1,10
7935,935,-1,10
4661,2086,-1,10
3241,1810,-1,10
3738,1117,-1,10
6364,564,-1,10
1968,464,-1,10
3047,859,138,10
2895,606,-1,10
4487,1193,-1,10
3862,1034,-1,10
4077,1478,-1,10
2179,1229,-1,10
3042,693,-1,10
2459,1245,-1,10
2301,1458,-1,10
6489,650,-1,10
6104,691,-1,10
3982,588,-1,10
5818,1622,-1,10
3742,1024,-1,10
6013,749,-1,10
4408,788,-1,10
4320,1235,-1,10
4158,1552,-1,10
4347,1555,-1,10
3268,857,-1,10
3079,1029,-1,10
3241,913,-1,10
3554,1201,-1,10
6007,992,-1,10
3172,1684,-1,10
5789,2038,-1,10
4989,1038,-1,10
2914,932,-1,10
2883,807,-1,10
3017,1030,-1,10
4246,2315,-1,10
2274,639,-1,10
4439,906,-1,10
3541,1688,-1,10
5852,803,-1,10
3628,518,-1,10
2434,297,-1,10
1021470,255097,-1,100
851646,329899,-1,100
1557041,706221,-1,100
1070443,280290,-1,100
864961,400576,-1,100
874820,361700,-1,100
846148,397708,-1,100
1183460,389966,-1,100
783880,293492,-1,100
1336903,284783,-1,100
1252053,483528,-1,100
950517,442383,-1,100
1119948,370602,-1,100
1298653,401792,-1,100
970701,354691,-1,100
998018,378035,-1,100
818577,695871,-1,100
1649059,373299,-1,100
984294,264464,-1,100
725190,305019,-1,100
986420,282777,-1,100
958144,386186,-1,100
1088102,272915,-1,100
973946,717860,-1,100
1186531,383973,-1,100
913151,506889,-1,100
786257,274961,-1,100
847212,280492,-1,100
873916,363498,-1,100
943807,388376,-1,100
1070303,490028,-1,100
785485,469724,-1,100
1182857,343688,-1,100
1122346,215408,-1,100
1558908,369200,-1,100
1164019,290293,-1,100
1191191,620381,-1,100
794677,473054,-1,100
898257,331599,-1,100
1020594,334466,-1,100
827371,408179,-1,100
753043,458884,-1,100
862037,331906,-1,100
1425144,305808,-1,100
1538292,465164,-1,100
2092954,338128,-1,100
827366,339033,-1,100
1553471,646609,-1,100
1698161,447492,-1,100
1483104,182758,-1,100
1356042,569828,-1,100
1744415,384336,-1,100
978487,295999,-1,100
1234673,329633,-1,100
1514937,389656,-1,100
823657,390575,-1,100
964430,338395,-1,100
1567434,389979,-1,100
1055079,649771,-1,100
788539,338419,-1,100
1554199,335316,-1,100
1074053,381541,-1,100
1145277,343036,-1,100
1315550,622359,-1,100
1366545,286429,-1,100
925673,430936,-1,100
1227833,374536,-1,100
1035787,410201,-1,100
859793,453790,-1,100
1299603,462416,-1,100
960707,272236,-1,100
993583,357723,-1,100
850757,224520,-1,100
1170104,368883,-1,100
1005596,359729,-1,100
1140641,570136,-1,100
1245090,297427,-1,100
1170306,543434,-1,100
1256028,368233,-1,100
957386,382285,-1,100
876323,449030,-1,100
1207368,314400,-1,100
1102616,263142,-1,100
920226,500886,-1,100
1016115,436012,-1,100
841531,300054,-1,100
1152235,433172,-1,100
968251,260194,-1,100
1478769,354122,-1,100
1219045,257991,-1,100
1088695,565250,-1,100
1150571,311597,-1,100
936944,420595,-1,100
861789,484884,-1,100
1495260,343704,-1,100
797094,479902,-1,100
857097,249944,-1,100
963939,496409,-1,100
953146,325809,-1,100
1307271,498129,-1,100
